x, sol1, sol2
0.00160784, 479.638, 57.2556
0.00161184, 479.637, 57.2527
0.00161584, 479.636, 57.2499
0.00161984, 479.635, 57.247
0.00162384, 479.634, 57.2441
0.00162784, 479.633, 57.2412
0.00163184, 479.632, 57.2383
0.00163584, 479.631, 57.2354
0.00163984, 479.629, 57.2325
0.00164384, 479.628, 57.2297
0.00164784, 479.627, 57.2268
0.00165183, 479.626, 57.2239
0.00165583, 479.625, 57.221
0.00165983, 479.624, 57.2181
0.00166383, 479.623, 57.2152
0.00166783, 479.622, 57.2124
0.00167183, 479.621, 57.2095
0.00167583, 479.62, 57.2066
0.00167983, 479.619, 57.2037
0.00168383, 479.618, 57.2008
0.00168783, 479.617, 57.198
0.00169183, 479.616, 57.1951
0.00169583, 479.615, 57.1922
0.00169983, 479.614, 57.1893
0.00170383, 479.613, 57.1864
0.00170783, 479.612, 57.1836
0.00171183, 479.611, 57.1807
0.00171583, 479.61, 57.1778
0.00171983, 479.609, 57.1749
0.00172383, 479.608, 57.172
0.00172783, 479.607, 57.1692
0.00173183, 479.606, 57.1663
0.00173583, 479.605, 57.1634
0.00173983, 479.604, 57.1605
0.00174383, 479.603, 57.1577
0.00174783, 479.603, 57.1548
0.00175182, 479.602, 57.1519
0.00175582, 479.601, 57.149
0.00175982, 479.6, 57.1462
0.00176382, 479.599, 57.1433
0.00176782, 479.598, 57.1404
0.00177182, 479.597, 57.1375
0.00177582, 479.596, 57.1347
0.00177982, 479.595, 57.1318
0.00178382, 479.594, 57.1289
0.00178782, 479.593, 57.1261
0.00179182, 479.593, 57.1232
0.00179582, 479.592, 57.1203
0.00179982, 479.591, 57.1175
0.00180382, 479.59, 57.1146
0.00180782, 479.589, 57.1117
0.00181182, 479.588, 57.1088
0.00181582, 479.587, 57.106
0.00181982, 479.586, 57.1031
0.00182382, 479.586, 57.1002
0.00182782, 479.585, 57.0974
0.00183182, 479.584, 57.0945
0.00183582, 479.583, 57.0916
0.00183982, 479.582, 57.0888
0.00184382, 479.582, 57.0859
0.00184782, 479.581, 57.083
0.00185181, 479.58, 57.0802
0.00185581, 479.579, 57.0773
0.00185981, 479.578, 57.0745
0.00186381, 479.577, 57.0716
0.00186781, 479.577, 57.0687
0.00187181, 479.576, 57.0659
0.00187581, 479.575, 57.063
0.00187981, 479.574, 57.0601
0.00188381, 479.574, 57.0573
0.00188781, 479.573, 57.0544
0.00189181, 479.572, 57.0516
0.00189581, 479.571, 57.0487
0.00189981, 479.571, 57.0458
0.00190381, 479.57, 57.043
0.00190781, 479.569, 57.0401
0.00191181, 479.568, 57.0373
0.00191581, 479.568, 57.0344
0.00191981, 479.567, 57.0315
0.00192381, 479.566, 57.0287
0.00192781, 479.565, 57.0258
0.00193181, 479.565, 57.023
0.00193581, 479.564, 57.0201
0.00193981, 479.563, 57.0173
0.00194381, 479.563, 57.0144
0.00194781, 479.562, 57.0116
0.0019518, 479.561, 57.0087
0.0019558, 479.561, 57.0058
0.0019598, 479.56, 57.003
0.0019638, 479.559, 57.0001
0.0019678, 479.558, 56.9973
0.0019718, 479.558, 56.9944
0.0019758, 479.557, 56.9916
0.0019798, 479.557, 56.9887
0.0019838, 479.556, 56.9859
0.0019878, 479.555, 56.983
0.0019918, 479.555, 56.9802
0.0019958, 479.554, 56.9773
0.0019998, 479.553, 56.9745
0.0020038, 479.553, 56.9716
0.0020078, 479.552, 56.9688
0.0020118, 479.551, 56.9659
0.0020158, 479.551, 56.9631
0.0020198, 479.55, 56.9602
0.0020238, 479.55, 56.9574
0.0020278, 479.549, 56.9545
0.0020318, 479.548, 56.9517
0.0020358, 479.548, 56.9488
0.0020398, 479.547, 56.946
0.0020438, 479.547, 56.9431
0.0020478, 479.546, 56.9403
0.00205179, 479.546, 56.9375
0.00205579, 479.545, 56.9346
0.00205979, 479.544, 56.9318
0.00206379, 479.544, 56.9289
0.00206779, 479.543, 56.9261
0.00207179, 479.543, 56.9232
0.00207579, 479.542, 56.9204
0.00207979, 479.542, 56.9176
0.00208379, 479.541, 56.9147
0.00208779, 479.541, 56.9119
0.00209179, 479.54, 56.909
0.00209579, 479.54, 56.9062
0.00209979, 479.539, 56.9033
0.00210379, 479.539, 56.9005
0.00210779, 479.538, 56.8977
0.00211179, 479.538, 56.8948
0.00211579, 479.537, 56.892
0.00211979, 479.537, 56.8892
0.00212379, 479.536, 56.8863
0.00212779, 479.536, 56.8835
0.00213179, 479.535, 56.8806
0.00213579, 479.535, 56.8778
0.00213979, 479.534, 56.875
0.00214379, 479.534, 56.8721
0.00214779, 479.533, 56.8693
0.00215178, 479.533, 56.8665
0.00215578, 479.532, 56.8636
0.00215978, 479.532, 56.8608
0.00216378, 479.532, 56.858
0.00216778, 479.531, 56.8551
0.00217178, 479.531, 56.8523
0.00217578, 479.53, 56.8495
0.00217978, 479.53, 56.8466
0.00218378, 479.53, 56.8438
0.00218778, 479.529, 56.841
0.00219178, 479.529, 56.8381
0.00219578, 479.528, 56.8353
0.00219978, 479.528, 56.8325
0.00220378, 479.528, 56.8296
0.00220778, 479.527, 56.8268
0.00221178, 479.527, 56.824
0.00221578, 479.526, 56.8211
0.00221978, 479.526, 56.8183
0.00222378, 479.526, 56.8155
0.00222778, 479.525, 56.8127
0.00223178, 479.525, 56.8098
0.00223578, 479.525, 56.807
0.00223978, 479.524, 56.8042
0.00224378, 479.524, 56.8014
0.00224778, 479.524, 56.7985
0.00225177, 479.523, 56.7957
0.00225577, 479.523, 56.7929
0.00225977, 479.523, 56.7901
0.00226377, 479.522, 56.7872
0.00226777, 479.522, 56.7844
0.00227177, 479.522, 56.7816
0.00227577, 479.521, 56.7788
0.00227977, 479.521, 56.7759
0.00228377, 479.521, 56.7731
0.00228777, 479.521, 56.7703
0.00229177, 479.52, 56.7675
0.00229577, 479.52, 56.7646
0.00229977, 479.52, 56.7618
0.00230377, 479.52, 56.759
0.00230777, 479.519, 56.7562
0.00231177, 479.519, 56.7534
0.00231577, 479.519, 56.7505
0.00231977, 479.519, 56.7477
0.00232377, 479.518, 56.7449
0.00232777, 479.518, 56.7421
0.00233177, 479.518, 56.7393
0.00233577, 479.518, 56.7365
0.00233977, 479.517, 56.7336
0.00234377, 479.517, 56.7308
0.00234777, 479.517, 56.728
0.00235176, 479.517, 56.7252
0.00235576, 479.517, 56.7224
0.00235976, 479.516, 56.7196
0.00236376, 479.516, 56.7167
0.00236776, 479.516, 56.7139
0.00237176, 479.516, 56.7111
0.00237576, 479.516, 56.7083
0.00237976, 479.515, 56.7055
0.00238376, 479.515, 56.7027
0.00238776, 479.515, 56.6999
0.00239176, 479.515, 56.697
0.00239576, 479.515, 56.6942
0.00239976, 479.515, 56.6914
0.00240376, 479.515, 56.6886
0.00240776, 479.514, 56.6858
0.00241176, 479.514, 56.683
0.00241576, 479.514, 56.6802
0.00241976, 479.514, 56.6774
0.00242376, 479.514, 56.6746
0.00242776, 479.514, 56.6718
0.00243176, 479.514, 56.669
0.00243576, 479.514, 56.6661
0.00243976, 479.513, 56.6633
0.00244376, 479.513, 56.6605
0.00244776, 479.513, 56.6577
0.00245175, 479.513, 56.6549
0.00245575, 479.513, 56.6521
0.00245975, 479.513, 56.6493
0.00246375, 479.513, 56.6465
0.00246775, 479.513, 56.6437
0.00247175, 479.513, 56.6409
0.00247575, 479.513, 56.6381
0.00247975, 479.513, 56.6353
0.00248375, 479.513, 56.6325
0.00248775, 479.513, 56.6297
0.00249175, 479.513, 56.6269
0.00249575, 479.513, 56.6241
0.00249975, 479.513, 56.6213
0.00250375, 479.513, 56.6185
0.00250775, 479.513, 56.6157
0.00251175, 479.513, 56.6129
0.00251575, 479.513, 56.6101
0.00251975, 479.513, 56.6073
0.00252375, 479.513, 56.6045
0.00252775, 479.513, 56.6017
0.00253175, 479.513, 56.5989
0.00253575, 479.513, 56.5961
0.00253975, 479.513, 56.5933
0.00254375, 479.513, 56.5905
0.00254775, 479.513, 56.5877
0.00255174, 479.513, 56.5849
0.00255574, 479.513, 56.5821
0.00255974, 479.513, 56.5793
0.00256374, 479.513, 56.5765
0.00256774, 479.513, 56.5737
0.00257174, 479.513, 56.5709
0.00257574, 479.513, 56.5681
0.00257974, 479.513, 56.5653
0.00258374, 479.513, 56.5625
0.00258774, 479.513, 56.5597
0.00259174, 479.513, 56.5569
0.00259574, 479.513, 56.5541
0.00259974, 479.514, 56.5514
0.00260374, 479.514, 56.5486
0.00260774, 479.514, 56.5458
0.00261174, 479.514, 56.543
0.00261574, 479.514, 56.5402
0.00261974, 479.514, 56.5374
0.00262374, 479.514, 56.5346
0.00262774, 479.514, 56.5318
0.00263174, 479.514, 56.529
0.00263574, 479.515, 56.5262
0.00263974, 479.515, 56.5235
0.00264374, 479.515, 56.5207
0.00264774, 479.515, 56.5179
0.00265173, 479.515, 56.5151
0.00265573, 479.515, 56.5123
0.00265973, 479.516, 56.5095
0.00266373, 479.516, 56.5067
0.00266773, 479.516, 56.504
0.00267173, 479.516, 56.5012
0.00267573, 479.516, 56.4984
0.00267973, 479.516, 56.4956
0.00268373, 479.517, 56.4928
0.00268773, 479.517, 56.49
0.00269173, 479.517, 56.4872
0.00269573, 479.517, 56.4845
0.00269973, 479.517, 56.4817
0.00270373, 479.518, 56.4789
0.00270773, 479.518, 56.4761
0.00271173, 479.518, 56.4733
0.00271573, 479.518, 56.4706
0.00271973, 479.519, 56.4678
0.00272373, 479.519, 56.465
0.00272773, 479.519, 56.4622
0.00273173, 479.519, 56.4594
0.00273573, 479.52, 56.4567
0.00273973, 479.52, 56.4539
0.00274373, 479.52, 56.4511
0.00274773, 479.52, 56.4483
0.00275172, 479.521, 56.4455
0.00275572, 479.521, 56.4428
0.00275972, 479.521, 56.44
0.00276372, 479.522, 56.4372
